,Comment
7656,Aw my eyes are set on the midnight already but what you said about the fingerprints kinda makes me doubtful about that color option. Although the fingerprints will be on the back that I don't get to see much often. But still it's annoying. So maybe Space Gray? Although it looks so boring and outdated. The Midnight is still the most sleek.
7657,I think they did this M2 MacBook Pro like this just to convince people it is normal to spend this much money for an Air
7658,i would love to see iMac's fun colors on the air. Feels like a bit a missed opportunity - why so serious?
7659,Fingerprint can be managed by skin as the colour is looking fab than other 3
7660,1:29 Doesn't it look like the colour is peeling around the thunderbolt ports? That would be awful.
7661,I was wondering too.
7662,"taruml�g rutangisnetauq   Programmierer  der
 Master K. I.                       !!!,0,Mc Fly,2022-06-10T10:56:23Z,0,0.0,0.0,0.0;;"
7663,where are the colors of the Imac m1? it is still very sad and not really fun looking anymore. I would love a blue (clear) or red one and most of all a white one.
7664,Yikes
7665,I really like this ??
7666,The notch is awful.
7667,man they haven't made rosetta better so that it doesnt crash blender
7668,"I use my MacBook to write in different languages, the touchbar prediction while texting has high value. 
Just wish it had a better Webcam!,1,Diego Cella,2022-06-10T10:46:54Z,0,0.0,0.5466666666666666,0.2616666666666666;;"
7669,why is top bezzell rounded and bottom square? looks terrific
7670,another glossy screen
7671,Oh
7672,Starlight for sure
7673,awesome??
7674,silver)
7675,Funny how most folks with the m1 air are trying to pawn it off like they secretly don't love the new Air! It's freaking gorgeous and the bump in performance & other upgrades are totally worth the money. Bet Apple will sell a billion of these
7676,Thanks jidion
7677,buy midnight pls
7678,M2 vs 7i gen 7?
7679,I love midnight so I gave him a dislike.
7680,"7:39 ""Anything but silver""
What's wrong with silver?,0,Jo�o Soares,2022-06-10T10:13:54Z,0,0.0,0.9,-0.5;;"
7681,M2 MacBook pro is for development! Strong CPU performance for days
7682,Wow what a price jump
7683,Yeah this doesn't seem like much of a jump from M1 for me. Probably gonna keep my current MBA.
7684,I know most people got bored of the silver colour with MBs but I don�t know. The next one I get will probably be a silver one. I guess it�s probably because my first MB is a 2016 MBP which I got in space gray and I kinda want to go retro Apple for my next one. I also have a feeling that the silver just blends in better in general because it�s an Apple �oldie� color and I really hate showing off new products I get. I don�t know� just some of my thoughts.
7685,When you test this new Macbook Air
7686,@MKBHD I think it's time to talk about screen protectors and how good they've got over the years
7687,Buy the silver one...That looks classy
7688,ooo dust in lens cann't help not noticing that big spot
7689,i use a hp laptop not a macbook
7690,I would prefer to see a review with space gray color. It has became a classic color in my opinion !
7691,I�d go with the midnight but I honestly would like to see the starlight!
7692,can�d support two external monitors??? that�s unfortunate
7693,The annoying fingerprint mark is the same as Microsoft surface laptop matte black colour.
7694,On the video it seems that Mac Book Air Midnight color
7695,Another positive for the mac pro... NO NOTCH!!! that beats almost all the other benefits of the air
7696,Loved the review
7697,Midnight is gorgeous anyway
7698,starlight
7699,These subtleties are the reason why I keep coming to MKBHD's channel. Because anyone can drop a couple of nice clips of whatever new stuff -but we need the marketing quackery sorted out
7700,"With such a price no chance to be good choice for EU market.
Eur price m2 air 1599� 
M1 air 1000�,1,Maro� Mikolaj,2022-06-10T08:19:18Z,0,0.0,0.55,0.35;;"
7701,Midnight or Starlight? Midnight looks better but it collects fingerprints easily. Starlight looks good too and I think it will be chosen less among m2 MBAs. It has little to no fingerprint smudging so idk. I think I'd go with starlight.
7702,I'm thinking to get the M2 Air as my first ever Mac computer because I need a new one for editing and no Windows laptops look to come close for Davinci Resolve editing at that price. Any advice?
7703,I think the Macbook Pro from last year might serve you best.
7704,Laptop displays should be 'mate displays' always or atleast mostly
7705,"First, I�d recommend the midnight�the fingerprints, they�ll be ok. Lol. 
Second�.what�s the review on the keyboard for the M2 Air�? Did they change the butterfly keys from the last one?,1,Kyle Burton,2022-06-10T07:48:33Z,0,0.0,0.3999999999999999,0.3875;;"
7706,curious about the starlight
7707,starlight for sure! great impressions
7708,I'd get M1 air only because of the gold color
7709,The only that did not go up is our wage. Still it�a a MacBook which are build to last longer than a those crappy PC. I am still using MacBook Pro early 2013 as I am typing my comment. And it doesn�t slow down like those crappy PCs.
7710,Midnight looks new go with midnight blue
7711,Definitely midnight ??
7712,does anyone know when they�re exactly coming out and how long does it take to ship
7713,"new MacBook Air with 20% higher price is disappointing 
to only get 20% better cpu
speaker
and better 1080p FaceTime camera (which we had on iPhone 7!),1,Arman,2022-06-10T07:19:07Z,0,0.0,0.609090909090909,0.1518939393939394;;"
7714,Why did they use those USB ports when thumb drives still use the older style?
7715,I mean I Still like the old design
7716,The notch
7717,SpaceGrey always!!
7718,"?????????????????????????????????????????????   *God demonstrated His love to us by sending His Son Jesus Christ, who died and rose from the dead to Give us eternal life.* *He also promised to heal your body.* *If you confess with your mouth the Lord Jesus and believe in your heart that God has raised Him from the dead* *He'll give you eternal life*
*(Look up at the sky and ask God)*,1,Cal Wizzarak,2022-06-10T07:02:14Z,0,0.0,0.5874999999999999,0.175;;"
7719,Star_Light colour ????
7720,The classic silver color is my choice. Btw
7721,Portland
7722,its very surface laptop squared off haha
7723,Aye I just was listening to Big Hurl On All Streaming platforms.
7724,I really thought my screen has shadows in it
7725,Please make video on sumsung ecosystem with all galaxy products like galaxybook pro2 360
7726,"Iphone 13 Pro = new MacBook with Notch 
Iphone SE line up with the traditional look of old MacBooks�(pro�s) 
I would prefer the traditional style without notch�..with all the compromises�,1,Muhammed Shabeeb,2022-06-10T06:36:22Z,0,1.0,0.5386363636363636,0.059090909090909;;"
7727,Thanks for leaving a comment
7728,THat sensor dust ????
7729,my laptop is broken i want the m2
7730,0:53 Are these ports already scratched?
7731,Silver only
7732,Thanks
7733,Good to know
7734,space gray I think
7735,Just wished it had more usb c ports and sd card slot. Still debating on this one or the MacBook Pro M1 Pro or Max.
7736,I will always go grey in any case.
7737,"I Would like to see A non pro 16"" Macbook at Lower price , kinda like
M2 MBA with 16"" Display and slightly bigger battery for $1299 or $1399,0,Riyas VKD,2022-06-10T05:59:30Z,0,0.0,0.5,0.0;;"
7738,GO FOR MIDNIGHT
7739,It looks the same...
7740,Why any time i turn on mark video i have subbtitles turned on? It is annoying!
7741,Thanks
7742,??
7743,the only reason why the m2 macbook pro exists is to serve as an anchor to justify you paying $200 more for the m2 macbook air vs m1 macbook air (and why the m1 macbook air remains at $999). brilliant pricing strategy from apple as always.
7744,Thanks for leaving a comment
7745,cant wait for the review of M2. i suggested u to get the midnight blue one ??
7746,Will you ever make a video with Jidion?
7747,"Hey. Your phone�s camera has a dot. Change your phone already ??
Just letting you know.,0,Patrick Dela Cruz,2022-06-10T05:32:40Z,0,0.0,0.0,0.0;;"
7748,"""I just love them bringing back MagSafe here"" - should not have removed it in the first place.,1,Varun Mishra,2022-06-10T05:27:53Z,1,0.0,0.3111111111111111,0.25;;"
7749,16Gb should be standard memory for the M2 series.
7750,"Threat level ""Midnight"",0,Akhilesh,2022-06-10T05:15:15Z,0,0.0,0.0,0.0;;"
7751,"Maybe you should ask Dbrand to make transparent skin so that we can enjoy Midnight color while being free from fingerprints.
(That's one major reason that I'm not buying Dbrand skins... no transparent option),1,???,2022-06-10T05:14:00Z,0,0.0,0.6,0.2875;;"
7752,Can you still charge it with usb c too?
7753,F the notch. It looks ass.
7754,Only I love stevejobs I love apple ?? but u really good awesome men I like it ??????
7755,its alwayd midnight Marques
7756,Hi Marques following you since last decade
7757,Why not the silver color option?
7758,India 512gb price is fdup
7759,Starlight
7760,"Decoy Effect with that MBP M2. 
Marketing.,0,Stanley Jason,2022-06-10T04:42:38Z,1,0.0,0.0,0.0;;"
7761,@mkbhd the dust on your camera sensor bugged me through the entire video... do you use just one camera?
7762,Literally to the 1% who's reading this
7763,Get the midnight
7764,Get the midnight
7765,as a beginner programmer what MacBook do you believe would support that profession the best
7766,"leaning towards just going all the way to the 14"" pro but just curious if you believe that'd be a waste,0,jahsubf,2022-06-10T04:31:54Z,0,,0.5,-0.15;;"
7767,Can it be charged via one of the USB-C ports instead of Mag Safe?
7768,"is it REALLY worth switching from M1 MBA to this  new M2 MBA??  
like how many people use their webcam alot? 
specially since the M1 AIR are going on sale for $800-$850,1,Boots N Pants,2022-06-10T04:25:01Z,0,0.0,0.4064935064935065,0.3233766233766234;;"
7769,I love iphone????????????
7770,space gray!
7771,I miss the Touch Bar. Everybody just got on the bandwagon wanting physical F buttons and apple �listened�.
7772,I�m really not feeling what apple is doing anymore. The m1 and m2 doesn�t support dual screens
7773,Midnight midnight midnight midnight
7774,In my opinion
7775,Starlight!
7776,"Consider where your soul will spend eternity, heaven or hell.  You don�t want to end up in hell because you rejected the Sacrifice Jesus has made all who repent and turn to him by faith.  We are all guilty of sin.  We lie, steal and look with lust in our hearts.  We are all Guilty before a Holy and Righteous God.  GOD is not just all loving and overlook your sin.  He is loving, but sin He will Judge because He is Perfectly good. The Good news is God the Father sent His Son Jesus Christ who was perfectly Holy to pay the penalty for your and my sin out of Love for us.  We can�t keep the Law we break most all commandments.  But Jesus fulfilled ALL by his perfect thoughts, words, deeds and motives for us because we could not. Jesus loved all humans and God the Father perfectly.  Turn, repent of your sin and confess Your thankfulness for what Jesus did for you.  Put your faith in the perfection and the righteousness of Christ.  Jesus was raised from death to give you new life; death has been defeated. Out of love and grace eternal life is promised to those who have faith.                                                     /.,/,/.,                                      ,,,,,,,,,,,,,,,,,,,,,,,,,,//////////////////////.................................................,/.,,1,Repentance Faith,2022-06-10T03:52:25Z,0,0.0,0.7896103896103897,0.4954545454545455;;"
7777,"Still mid night black for me. But Those monotone colour should only be used for PRO models by looking at Ipad air design. I hope they dont make super nice pastel colourful ones after I buy this one ... Thank got to magsafe charging port! I was waiting for it. I can finally retire my 2011 macbook air 11"" which is still functional and fast!,1,KABAOTTO EMULSION,2022-06-10T03:52:01Z,0,0.0,0.6714285714285714,0.1666666666666666;;"
7778,get the midnight
7779,Why are they introducing several types of charging ports?? Carrying iphone charger 
7780,Cool I will luck out this one then . Thanks on helping meee
7781,The bezels are still thicc
7782,Same shit
7783,Midnight reminds me of a sterile risk-averse law firm - Go for anything but midnight bro ha
7784,Midnight! But I think Space Gray would be a good second
7785,Get a space grey
7786,That intro beat ??????
7787,Apple trying cash as much as possible
7788,Honestly get all the colours so you can have a video on comparing the colours and how they look in each of your hands in your team.
7789,Thanks again Marques. Eagerly awaiting your future detailed insights into these new offerings from Apple. Although I personally never ever upgrade any hardware unless absolutely necessary.
7790,"reaaalllly wish they added miniLED to this Air or redesigned the 13"" MBP with it,0,tonyp114,2022-06-10T03:16:06Z,0,0.0,0.0,0.0;;"
7791,I�m getting Starlight.
7792,I don't like that they removed the iconic AIR design and also don't like the nodge.
7793,I literally just bought the M1 MacBook Air last month and now this comes out. Thinking of trading it ??
7794,Nice waiting for full review
7795,I'm curious how well it will handle sustained thermal intensive tasks. I use an M1 MacBook Pro now and would switch to this new air simply because of how much I HATE the stupid touch bar.
7796,"I feel you. I have never seen that bar as something cool. To me it is exactly the same as all these double notification features on smartphones. Like text messaging. You can enter the app, but you can also reply in the notification. Like.... WTF???? I want things central and not spread out in multiple levels. But that bar is nothing, compared to flat design. It is like MS and Apple said ""fuck it, we use it so heavy that people dont know what is a function/feature anymore"". And I hate that aproach the industry have taken to heart. Like in Win10, in settings, it took me 30 minute to figure out that a line of text were like a button or something. When things are that heavily used, it is bad for the user experience.

Thanks, but no thanks. I keep to Ubuntu Mate, that I have been using fully on my everyday driver since 2016.,0,brostenen,2022-06-12T09:01:48Z,0,,0.4104166666666667,-0.1453125;;"
7797,AGREE im planing to buy the air instead of pro only because i do not like the touch bar
7798,A notch on a laptop�.I actually thought this was a Joke!!
7799,I lost interest as soon as I saw that dumb notch!
7800,i would love to see a review on the starlight macbook air!
7801,Respect to Marques for not stretching the vid to 8 minutes. That just shows he cares more about the quality of his content than making extra money through midroll ads.
7802,I mean apple is more and more industrial than artistic
7803,"Every reviewer is going to get midnight so getting starlight would be nice. Starlight has looked really bad on a lot of the new apple products but looks like it could be nice on the air.

Wish apple would drop the old air price down or give better standard internals. 799$ would be awesome starting price but even 899$. Then if the new air and new pro start lower or start with 16 memory and 512 storage.,1,Tanner L,2022-06-10T02:32:29Z,2,0.0,0.5099326599326598,0.1961279461279461;;"
7804,on my message
7805,A third usb-c port makes much more sense through greater utility than having the proprietary mag-safe connector
7806,Hey what config did you use for the comparison? I�m guessing 10 core GPU & 512 GB?
7807,"Definitely Starlight! Midnight reminds me of Samsung's Galaxy Book (2) Pro Mystic Blue. Pretty but horrible to keep clean. Naw tanx! And the 13"" MB Pro? The MBP team needs to brainstorm with less weed.,0,Jim Kanaris,2022-06-10T02:13:42Z,0,0.0,0.5611111111111112,-0.0763888888888888;;"
7808,yeah
7809,Buy the midnight and apple cloth to clean it. Haha
7810,So.. This midnight is like the slate color from iPhone 5
7811,The blue looks like the same color Asus uses. Very hard to keep clean. The design also looks a little like an Asus laptop. I rather like that design. Magsafe is great
7812,Starlight
7813,not trying to be funny and from the comments no one really ask but how in the heck you can afford $135
7814,Bhanuka f u
7815,ye
7816,canu charge it with a usb-c or only with a magsafe?
7817,I dont know what number of video Im already at
7818,If not midnight then starlite looks a good choice for having something more eye catchy
7819,Get gold !!!!
7820,6:37 I think
7821,Midnight color looks nice
7822,Black is King
7823,"What is the mac really made for?
if we cant fire up the latest games and do heavy editing .
just asking :),1,Abhraneel Dhar,2022-06-10T00:43:55Z,0,0.0,0.65,0.25;;"
7824,2:15
7825,"The pro comes with a 65 watt charger out the box already. 
No extra cost. You should know this fam.,0,babyfacedkayos,2022-06-10T00:36:34Z,0,0.0,0.1,0.0;;"
7826,I would go with Starlight ??
7827,"Hello, Humans
The wood frog spends 7 months of the year frozen.

TERRANCE OUT,0,T-Virus Terrance,2022-06-10T00:34:04Z,0,0.0,0.0,0.0;;"
7828,Still unsure and don�t really understand the notch design on a laptop display. Sure better webcam quality but to make it look like the phone that will likely have a new design anyway in autumn
7829,The MacBook Pro didn�t even come with pro motion whereas the MacBook Air supports pro motion. That was kinda off to me considering it�s called a Mack book PRO and does have PRO motion
7830,i had been an apple only guy for over 13 years. but now
7831,wanna see that matte white as an option
7832,Starlight or Space Grey
7833,notch??
7834,But can it play Apex. That�s all I want to know.
7835,Go with midnight
7836,Very nice new Air indeed
7837,apple is killing it
7838,Is that a notch???
7839,go with midnight!
7840,Space Grey
7841,I'll stick with my Air M1 until we get one without a notch
7842,Idk how M1 got so much praise as a video editing beast and now you�re saying this M2 machine might be good for some �light editing�
7843,Looks like I'll be sticking with my still lovely M1
7844,Space Grey!
7845,is the trackpad in this M2 MBA bigger? it sure looks bigger
7846,I had the same thoughts when I saw their announcement of the new M2 air and pro. Air definitely seems like a better deal on the surface- glad to see your thoughts
7847,The M2 pro is like having excess parts from the M1 pro series that needed to be commercialized
7848,I see a dot in the video!
7849,"I think we have to consider that in a high(er) inflation market (cheaper cpu, more expensive pacific shipping, Apple's massive purchasing power, somewhat higher chinese wages) that perhaps $999 is no longer the normal base price. Then again not many non businss buyers will pay more than $2K. IMHO  moving to the M2 in the MB 13in Pro was a no brainer plus its would be strange if the Pro was less powerful than the Air and could do less stuff.Who would buy the 13in Pro??? Perhaps Apple had to guarantee its developers that the touchbar would remain for likely Pro Apps until its dropped from them all. So it had to still sell the smaller/""lighter"" 13in MBP. Looking at the specs, I can see the 13in MBP being dropped first as the top end Air has the same specs (if not better and lighter). What customer needs a 10GPU M2 Macbook Air with a 2TB SSD/24GB RAM? Its not the regular customer of Apples Air...,1,Stephen Doherty,2022-06-09T23:09:24Z,0,0.0,0.4825573549257759,0.0140350877192982;;"
7850,Mignight color will show scratches easily as well
7851,RIP HUGE JACKMAN ! 1968 - 2022
7852,There�s too much border to even justify a notch lol
7853,Get the midnight blue !!
7854,What do you do with old devices after new ones come out?
7855,they trade it in for a 50% loss every year basically. Apple users basically are on a subscription for some UI changes and upgraded chip they will never max out the performance for. And if they are maxing out the performance they shouldn't be using a mac in the first place.
7856,Give us support for dual displays
7857,Complaining about prices
7858,are you really sticking up for one of the largest tech corporations in the world that sells its consumers $1000 monitor stands
7859,I'd go for the gold option. Not many of that colour around. Silver is the modern day beige.
7860,"People here are really overthinking the M2 13"" MBP.  It is in the lineup simply because Apple didn't want to drop the 13"" MBP. Nor did they want to redesign it because, let's face it, there will be no M3 version of it ... A slightly slimmed down 14"" will take over.,0,Falk Lumo,2022-06-09T22:48:10Z,0,0.0,0.2531746031746031,-0.0305555555555555;;"
7861,why�s it rectangle it�s so ugly ??
7862,Space gray is dead
7863,"aint nobody gonna talk about how they removed the ""macbook air"" edging from below the screen. I mean why tho :((,0,Lmaooo,2022-06-09T22:43:18Z,0,0.0,0.84375,-0.53125;;"
7864,CLASSIC SILVER
7865,"For many years now I was like ""argh silver...� .But I actually was caught off guard when I saw my friend�s Silver M1 MacBook Pro. It looked so fresh to me! I guess with the new curves and edges it becomes a whole different thing. 
And we might also have gotten used to space grey. It doesn't look especially dark to me anymore, but the silver now looks especially bright to me...,1,Josua Badertscher,2022-06-09T22:36:39Z,45,3.0,0.494949494949495,0.2068181818181818;;"
7866,I used to be team space gray until I got the MacBook Air M1 and everyone here is spot on: silver stays clean and looks fresh. I do really like that starlight color though compared to the old gold color
7867,"Same! Ended up getting the silver Air last year after years of thinking ""argh boring silver"" and using space grey. Silver feels very fresh and crisp, clean.,0,Scorpio Mystik,2022-06-12T00:11:40Z,2,,0.4369047619047619,-0.0061904761904761;;"
7868,Same for me
7869,jigong
7870,Bro review Some Thinkpads
7871,get midnight 
7872,look. I can�t order it online. How did you get it so early
7873,18 hours VS 20 hours almost no different !!! Nobody want to buy MacBook Pro anymore if no new design !!
7874,Man bring back that midnight color from iPhone 5 to the new iPhones
7875,The Starlight is sexy. But does the new M2 MBA support more than one display now?
7876,bruh i would trade my 2019 pro for this
7877,You forgot MacBook Pro has ((touch bar)) which Air doesn't have. and MacBook Pro doesn't have notch~ hehe~
7878,Midnight!
7879,"I got a Mac Studio a few months ago and I'm looking now to replace my 2015 MBP with something more portable and lightweight for music production and general work. The thinner bezels, improved webcam, and ability to have 24GB RAM make this the perfect laptop for me. My only complaint is I really think Apple could have put an SD card slot and and HDMI port on this computer; I can't imagine it would have cost them that much more.,1,Summer,2022-06-09T22:02:01Z,0,1.0,0.5,0.21875;;"
7880,why would they do that when they can sell you an adapter for it
7881,Brother i think you should get the space gray.       peace???
7882,so does it come with the charging brick
7883,I just bought the M1 rose gold MB Air about a month or two ago and I�m not mad about it
7884,@Tony Talks yeah my old MacBook I could maybe get an hour out of it now I can go a week without charging.
7885,@br0z. if they had added Face ID 100% would be fine with it. But as is eh it�s not great. The menu bar isn�t even with the notch either and that really bothers me.
7886,Got mine 8 months ago and considering the battery life and performance it's definitely a steal.
7887,Same here and maybe I'm superficial but I can't go over that notch
7888,Yeah I got mine about 6 months ago. New ones look nice but mine is more then I need. Especially coming from a 2012 MacBook Pro. They will be on M6 or something when I need a new one.
7889,The pricing is too high. For a half decent spec air (16gb ram and 512gb storage) I can get the 14 inch base macbook pro with the same spec for the same money.
7890,"Maybe they will finally allow more than 1 external display on it ?? (eyeing you MacBook air m1).
Edit: also considering the MacBook pro m1 could do 2 displays, what display conditions will the m2 air vs m2 pro be?,1,powerbird101,2022-06-09T21:48:48Z,0,0.0,0.5333333333333333,0.1666666666666666;;"
7891,"How on earth ""real function keys"" is better than the touch bar?,1,Panos B,2022-06-09T21:48:04Z,0,0.0,0.4,0.35;;"
7892,man that black air is sexy....but if i'm spending 1k+ on something computer related it's going to be a graphics card lol
7893,Apple doesn't fail its customers. True fan
7894,@Akiko Hayami How is it inferior? and what functionality ? Windows still sucks and LInux desktop is masochistic on laptop.
7895,Except for selling them an inferior performing product in disguise with a pretty UI that offers half the functionality of any other OS
7896,Did anybody else catch him saying thee-ayter
7897,"WHY!? A notch on a laptop? GTFOH
??,0,Tramaine Smith,2022-06-09T21:41:37Z,0,0.0,0.0,0.0;;"
7898,Can someone fuckn tell my why the mtfckn headphone jack so important than any other port?
7899,In europe the price of the air went from 900~ to 1519...
7900,I think for the next macbook pro
7901,@HaswellCore It was good
7902,Touch Bar is gone people don�t need it
7903,Midnight ist eine klasse Farbe???? Passt so gut zum MB
7904,Go for midnight!
7905,I would go for space grey. The midnight looks like the edges of the thunderbolt ports might chip and just show the aluminium colour :)
7906,Yeah
7907,They've missed a trick only having USB on one side. My Dell XPS 13 has one on each side and it's incredibly useful having the flexibility on which side to plug in
7908,"@Daniel both USBC allow charging and they even accept fast charging capabilites. Same as the 14/16 MacBook Pro, which can be charged from any of the three USBC. I do it all the time with whatever USBC charger I have closer to me, even a 25 watts from Samsung works (though it'd take like 6 hours to charge completely lol). 

Fun fact: if you connect multiple chargers at the same time (either Magsafe or USBC) the computer will chose to charge from the higher wattage one.,1,Ale Zuvic,2022-06-15T17:52:23Z,0,,0.3214285714285714,0.2214285714285714;;"
7909,@Bluegrass Geek nah
7910,@Bluegrass Geek Neither would you if you needed a longer cable to reach the device
7911,@Rajik Kali Heh!
7912,Yes
7913,It's a physical design limitation. If they put ports on the right side
7914,"Both yes and no. It all depends on how you look at it. Depends on were on the table you have your usb stuff (drives, or whatever) or are you the one that just want everything on one side, because operation will be easier.

The mag safe are indeed a great thing though. I wish more makers would do something like that.

Personally I dont give a rats ass, on what side there are USB ports. As long as I have at least 4 ports in total. And that is hard to find these days.,1,brostenen,2022-06-12T08:53:33Z,0,,0.5177083333333333,0.1447916666666666;;"
7915,@Zach He's never going to read your comment
7916,@Daniel They absolutely can be used to charge.
7917,nice
7918,@Anton Gerstlohner I don't use or plan to use Apple products
7919,@Daniel I remember hearing something like that but I wouldn't say I am certain. We'll see what Apple envisioned for us.
7920,@Anton Gerstlohner I don't remember anyone saying that all usb ports can be charged through tho
7921,Yes
7922,"Hi, fellow xps 13 user. I had to buy a usb hub for mine xps so it doesn't really matter which side the cord is connected to.
Still not a dealbraker, gonna get this new air for my work. Windows is slowly killing me. Hopefully mac won't.,1,Oleksii Fisher,2022-06-10T11:58:34Z,4,,0.3515151515151515,0.0121212121212121;;"
7923,nah that's bs
7924,@Dont Read The Comments get a longer cord lol
7925,"That's my biggest regret getting the M1 air (  besides the fact I missed out on a flat edge magsafe Air :/  )

Tough having to watch netflix at the very edge of the bed :(,0,Dont Read The Comments,2022-06-09T23:45:00Z,29,,0.6516666666666666,-0.2427777777777778;;"
7926,Is anyone else seeing a faint circle on the top left quadrant of the video. I first thought it was on my screen
7927,midnight blue is my favorite shade of blue
7928,You need sharper razors Marques
7929,SpaceG!!!
7930,But they don�t have different ports? Website lists two thunderbolt/usb 4 for both the air and pro
7931,How can uGreen make a small 65W charge brick with 2 ports and Apple cant.... first thing I did was stash my Apple charger in a cupboard and use the uGreen to charge my M1.
7932,"to my mind the 13"" is basically apple getting rid of the last of that body shape. that will get a bump up to the new design next year. it also gives the air and the 14/16 mbp a chance to ramp up sales before getting new silicon.,1,Matt Hoing,2022-06-09T21:18:23Z,0,0.0,0.2439393939393939,0.0681818181818181;;"
7933,Spacegrey.
7934,Cool laptop and video but i'm distracted because of the black spot in the lenses
7935,They're removing the notch from the iPhone and putting it on the MacBook ??
7936,I still consider the MBA with M1 the valuable deal over any of these laptops..And it has enough power to satisfy the workload of 85-90% of people imo..
7937,Exactly this
7938,We can't wait to get our hands on these new beauties. ????
7939,not me seeing this right after getting the MacBook pro m1
7940,When is everyone going to be honest about apple products?
7941,why do that when you can make money with affliate links
7942,Do you think for 3D design
7943,guys this vid is old  was 2 years ago when he did the review. He will do the M3 macbook air soon
7944,Can it charge via type c?
7945,Midnight
7946,My only issue....why doesn't it come in gold ?????????
7947,4:24 Was that iJustine?
7948,Ugh I bought the M1 MacBook Air (2020) 6 months ago... Do you think it's worth the upgrade? Personally it doesn't seem that much better
7949,I think you should get the midnight.  I use to have the back macbook air many moons ago and was sad when it was taken away...I say Midnight!!!
7950,when you say - m1 macbook pro a bad deal... breaks my balls
7951,Hey
7952,If you can get a used / after market m1 air with 8 cores CPU and 8 cores GPU as well as 16 gb of ram
7953,MacBook Air > iPad Pro
7954,???? ?? ?????? ?????? ????? ???????
7955,A friend will be replacing her unsupported 2012 Air with a 2022 M1 Air.  The only thing she does that could benefit from the added performance is occasional short video editing (songs).  She�ll get 512MB-1TB storage
7956,Get the silver color because it hides scratches.
7957,I can�t believe they are making this shit with the fucking notch
7958,Take starlight
7959,"What�s that black dot ?? in the video 
Marques? ??,0,Nadim Mridha,2022-06-09T20:30:56Z,0,0.0,0.4333333333333333,-0.1666666666666666;;"
7960,New MacBook Pro is a joke. I don�t see how apple released that
7961,Question. A Magsafe charger from a 2014 Macbook will work with this new Macbook Air?
7962,"i had a question.
do you think we could wait for the new M2 pro or we can trust and go for M2 air?
i am talking for use in student life.,1,brexter,2022-06-09T20:27:10Z,0,0.0,0.4545454545454545,0.1363636363636363;;"
7963,The pricing kills me a liittle. I would have loved to see the m1 MacBook Air go to 899 and the m2 1099� which is actually their prices on the education website. I�m just tired of everything going up except my wage ??
7964,Def get the midnight I want to see it more in dept on ur channel.
7965,So far I was also considering midnight black colour but ur video compelled me to change the decision after fingerprint smudges on d mac. It really break mah heart????????????
7966,Dose anyone think we are gonna get a MacBook Pro with a Touch Bar and ports?
7967,To see all those people still wearing masks is just sad.
7968,Question. Can the laptop be charged by magsafe and usb c alternatively? For travelers it now brings back the problem of carrying two chargers if otherwise is true.
7969,the notch kills me lol  my 2015 pro dont have it lol
7970,Believe in Jesus � the Son of God. For while we were still weak
7971,5:53: it seems like the touchbar is back on the MacBook Pro
7972,"It's a little frustrating to me that people have these assumptions that all creative professionals will automatically buy the more expensive M1 Pro or M1 Max models and therefore there's no value on the M2 13 inch MacBook Pro update. There are plenty of photographers and others like me who are interested in finding the best performance and user experience at the most cost effective level, especially if it's required for your business to be efficient and profitable. The $500+ plus difference between the M2 13"" MBP and the M1 Pro 14"" MBP is a considerable chunk of change for a self employed photographer, which could be better spent on lenses or other gear. I'm not saying I wouldn't love an M1 Pro or Max laptop, but I wouldn't discredit the M2 MBP entirely for those who need sustained performance at the lowest price.

That said, I do think the M2 Air is the more intriguing machine now, although I find it hard to justify the price increase given the measly 8GB of memory and 256GB storage. Bump those up to a more reasonable starting size and the price would be easier to swallow.,1,Misterfilmguy,2022-06-09T20:09:57Z,0,1.0,0.5590579710144927,0.1643115942028985;;"
7973,if you want cost effective and best performance apple is not the answer lol
7974,$1500 Cad and only 8gb ram in 2022... LOL
7975,yeah man but u can edit videos!! You cant edit videos in windows haha! all you can do is everything on windows.
7976,What�s the Dino video he�s watching on the MacBook? ??
7977,it looks kinda like ipad attached to magic keyboard but all together
7978,hey i have a silver macbook air!! hahaha
7979,"dude the public is so much more ignorant! I mean this as a apple 'hater', but honestly... walk in any university... 50% is Apple, 50% is anything else. And, usually, one is in either group because of either 1. growing up with that system or 2. brand image. And my opinion is strongly the second, as Apple wasn't so diffused a few years back... - same goes within its lineup. _MOST_ people who buy the Pro is because they want the pro/serious image, and those buy the Air want to have the more air/traveller image.... the price is not really a problem, 1400 or 1600 doesn't really make a difference, does it? 

It reminds me of my sister buying a new Audi A3 TDI in 2016 not knowing it didn't have bluetooth - bought the image, not what it offered. My 2012 Fiesta had it as standard.,1,61percentodicarica,2022-06-09T20:08:23Z,1,1.0,0.3260653409090909,0.1332623106060605;;"
7980,.
7981,They got too many designs. I can�t keep up. M2 air gotta be better than a m1 pro right? Lol
7982,Space Grey ....i have had all the Apples in a Black Plastic MacBook and Silver in First Air....and current 2018 Air in Space Grey and that finish has stood the test of time still looks new....the others mentioned did NOT!!!
7983,I Thought they bought back the old black Mac with the lit apple for a minute lol
7984,"MIDNIGHT!
you should get it. because those apple machines are so clean and slick. it�s gonna be nice to let it develop a nasty patina i think. because it doesn�t affect the computing power.,0,J. V.,2022-06-09T20:03:38Z,0,0.0,0.76875,-0.0708333333333333;;"
